# Browsec VPN IPs - 20231107 - craiu@noh.ro 
# extended list from https://sec.okta.com/articles/2023/10/tracking-unauthorized-access-oktas-support-system
103.75.119.13 | 136258 | 103.75.119.0/24 | AS136258 | CA | BrainStorm Network, Inc
45.32.33.197 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.38.1 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.49.25 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.53.150 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.53.59 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.60.187 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.32.63.119 | 20473 | 45.32.32.0/19 | AS20473 | US | The Constant Company, LLC
45.63.26.80 | 20473 | 45.63.24.0/21 | AS20473 | US | The Constant Company, LLC
45.63.30.21 | 20473 | 45.63.24.0/21 | AS20473 | US | The Constant Company, LLC
45.76.106.25 | 20473 | 45.76.96.0/20 | AS20473 | US | The Constant Company, LLC
45.76.115.100 | 20473 | 45.76.112.0/20 | AS20473 | US | The Constant Company, LLC
45.76.210.232 | 20473 | 45.76.192.0/19 | AS20473 | US | The Constant Company, LLC
45.76.212.27 | 20473 | 45.76.192.0/19 | AS20473 | US | The Constant Company, LLC
45.76.218.47 | 20473 | 45.76.192.0/19 | AS20473 | US | The Constant Company, LLC
45.76.51.229 | 20473 | 45.76.48.0/21 | AS20473 | US | The Constant Company, LLC
45.76.53.63 | 20473 | 45.76.48.0/21 | AS20473 | US | The Constant Company, LLC
45.76.97.219 | 20473 | 45.76.96.0/20 | AS20473 | US | The Constant Company, LLC
45.77.21.152 | 20473 | 45.77.16.0/20 | AS20473 | US | The Constant Company, LLC
46.183.186.28 | 5483 | 46.183.186.0/24 | AS5483 | HU | Magyar Telekom plc.
46.183.187.101 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.106 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.107 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.13 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.19 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.41 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.50 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.67 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.183.187.96 | 9009 | 46.183.187.0/24 | AS9009 | RO | M247 Europe SRL
46.246.93.160 | 42708 | 46.246.0.0/17 | AS42708 | SE | GleSYS AB
46.246.93.23 | 42708 | 46.246.0.0/17 | AS42708 | SE | GleSYS AB
5.22.209.76 | 202053 | 5.22.208.0/21 | AS202053 | FI | UpCloud Ltd
5.22.211.129 | 202053 | 5.22.208.0/21 | AS202053 | FI | UpCloud Ltd
50.7.115.154 | 174 | 50.7.115.0/24 | AS174 | US | Cogent Communications
50.7.142.180 | 174 | 50.7.140.0/22 | AS174 | US | Cogent Communications
50.7.142.181 | 174 | 50.7.140.0/22 | AS174 | US | Cogent Communications
50.7.142.182 | 174 | 50.7.140.0/22 | AS174 | US | Cogent Communications
50.7.93.27 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
50.7.93.28 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
50.7.93.29 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
50.7.93.83 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
50.7.93.84 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
50.7.93.85 | 174 | 50.7.92.0/22 | AS174 | US | Cogent Communications
51.222.31.148 | 16276 | 51.222.0.0/16 | AS16276 | FR | OVH SAS
51.79.73.44 | 16276 | 51.79.0.0/17 | AS16276 | FR | OVH SAS
62.212.64.16 | 60781 | 62.212.64.0/19 | AS60781 | NL | LeaseWeb Netherlands B.V.
62.212.64.17 | 60781 | 62.212.64.0/19 | AS60781 | NL | LeaseWeb Netherlands B.V.
62.212.64.18 | 60781 | 62.212.64.0/19 | AS60781 | NL | LeaseWeb Netherlands B.V.
62.212.64.19 | 60781 | 62.212.64.0/19 | AS60781 | NL | LeaseWeb Netherlands B.V.
62.212.64.20 | 60781 | 62.212.64.0/19 | AS60781 | NL | LeaseWeb Netherlands B.V.
80.211.249.232 | 205727 | 80.211.248.0/21 | AS205727 | IT | Aruba S.p.A.
80.211.251.87 | 205727 | 80.211.248.0/21 | AS205727 | IT | Aruba S.p.A.
80.211.82.73 | 31034 | 80.211.0.0/17 | AS31034 | IT | Aruba S.p.A.
80.211.86.37 | 31034 | 80.211.0.0/17 | AS31034 | IT | Aruba S.p.A.
80.211.96.78 | 31034 | 80.211.0.0/17 | AS31034 | IT | Aruba S.p.A.
92.223.105.123 | 202422 | 92.223.105.0/24 | AS202422 | LU | G-Core Labs S.A.
94.237.10.175 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
94.237.10.45 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
94.237.107.106 | 202053 | 94.237.104.0/22 | AS202053 | FI | UpCloud Ltd
94.237.107.107 | 202053 | 94.237.104.0/22 | AS202053 | FI | UpCloud Ltd
94.237.107.109 | 202053 | 94.237.104.0/22 | AS202053 | FI | UpCloud Ltd
94.237.107.110 | 202053 | 94.237.104.0/22 | AS202053 | FI | UpCloud Ltd
94.237.111.5 | 202053 | 94.237.108.0/22 | AS202053 | FI | UpCloud Ltd
94.237.111.51 | 202053 | 94.237.108.0/22 | AS202053 | FI | UpCloud Ltd
94.237.13.226 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
94.237.14.1 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
94.237.14.205 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
94.237.41.130 | 202053 | 94.237.40.0/21 | AS202053 | FI | UpCloud Ltd
94.237.41.229 | 202053 | 94.237.40.0/21 | AS202053 | FI | UpCloud Ltd
94.237.44.139 | 202053 | 94.237.40.0/21 | AS202053 | FI | UpCloud Ltd
94.237.47.60 | 202053 | 94.237.40.0/21 | AS202053 | FI | UpCloud Ltd
94.237.9.111 | 202053 | 94.237.8.0/21 | AS202053 | FI | UpCloud Ltd
